2025-12-20 21:37:17,353 | INFO | io_xlsx | Loaded 992 rows (skipped 226)
2025-12-20 21:37:17,354 | INFO | main | Loaded 100 cases (after CIK normalization)
2025-12-20 21:37:17,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001097081.json
2025-12-20 21:37:17,395 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001503518.json
2025-12-20 21:37:17,395 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000018172.json
2025-12-20 21:37:17,728 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001167178.json
2025-12-20 21:37:18,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001168213.json
2025-12-20 21:37:18,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001606180.json
2025-12-20 21:37:18,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013243.json
2025-12-20 21:37:19,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000913364.json
2025-12-20 21:37:19,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001393066.json
2025-12-20 21:37:19,727 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000074783.json
2025-12-20 21:37:20,069 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000817979.json
2025-12-20 21:37:20,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000002034.json
2025-12-20 21:37:20,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000883702.json
2025-12-20 21:37:21,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000937971.json
2025-12-20 21:37:21,397 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000030841.json
2025-12-20 21:37:21,727 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001017648.json
2025-12-20 21:37:22,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000796486.json
2025-12-20 21:37:22,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001602367.json
2025-12-20 21:37:22,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001078420.json
2025-12-20 21:37:23,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001010286.json
2025-12-20 21:37:23,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000096638.json
2025-12-20 21:37:23,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000876320.json
2025-12-20 21:37:24,064 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000002852.json
2025-12-20 21:37:24,395 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001337913.json
2025-12-20 21:37:24,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000003116.json
2025-12-20 21:37:25,061 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000202890.json
2025-12-20 21:37:25,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001058703.json
2025-12-20 21:37:25,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000885066.json
2025-12-20 21:37:26,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000909950.json
2025-12-20 21:37:26,394 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001376610.json
2025-12-20 21:37:26,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000003941.json
2025-12-20 21:37:27,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001301063.json
2025-12-20 21:37:27,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001690769.json
2025-12-20 21:37:27,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013218.json
2025-12-20 21:37:28,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000874501.json
2025-12-20 21:37:28,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:37:28,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:37:29,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000714756.json
2025-12-20 21:37:29,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000004457.json
2025-12-20 21:37:29,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001336545.json
2025-12-20 21:37:30,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001336545.json
2025-12-20 21:37:30,400 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000051124.json
2025-12-20 21:37:30,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000772349.json
2025-12-20 21:37:31,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000315136.json
2025-12-20 21:37:31,398 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001068078.json
2025-12-20 21:37:31,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000868076.json
2025-12-20 21:37:32,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001256536.json
2025-12-20 21:37:32,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000922812.json
2025-12-20 21:37:32,728 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000853927.json
